0,1,2,3,4,5,6
Bitumen freight movements,Bitumen freight movements,Bitumen freight movements,Bitumen freight movements,Bitumen freight movements,Bitumen freight movements,Bitumen freight movements
Vessel name,Owner,Tonnage,Loading port,Discharge port,Current position,ETA
Bithav,Cassiopeia,6384,Rotterdam,"Thames, UK",English Channel,20-Mar
An Hai Wan,COSCOSAS,6165,Port Jerome,"Antwerp, Belgium",English Channel,21-Mar
Ping Hai Wan,COSCOSAS,6115,Agioi Theodoroi,"Bayonne, France",North Atlantic,19-Mar
Bitfjord,ABC Maritime,4900,Rotterdam,"Stavanger, Norway",North Sea,20-Mar
San Bacco,ABC Maritime,4995,Brunsbuttel,"Thames, UK",English Channel,23-Mar
Stella Polaris,Tarbit Shipping,8297,Delfzijl,"Kolding, Denmark & Norrkoping,",Gulf of Bothnia,19-Mar
Fuji Lava,Asphaltos,6065,Taranto,"Galati, Romania",Black Sea,24-Mar
Action,Alliance Maritime,5897,Agioi Theodoroi,"Constanta, Ro- mania",Black Sea,22-Mar
Iver Accord,Iver Ships BV,5897,Agioi Theodoroi,"Sousse and Gabes, Tunisia",Med,21-Mar
Baltic Narval,Continental Bitumen,21500,Izmit,"Thames, UK",Med,2-Apr
Black Shark,Mediterranea di Navigazione,8476,Augusta,"Naples, Italy",Med,22-Mar
Ning Hai Wan,Ninghaiwan Maritime Co Ltd,6118,Huelva,"Bayonne, France",North Atlantic,23-Mar
Iver Brilliant,Iver Ships BV,6239,La Coruna,"Lisbon, Portugal",North Atlantic,20-Mar
Castillo de Pambre,Ojeda Shipping,8353,Tarragona,"Mohammedia, Morocco",North Atlantic,21-Mar
Iver Beauty,Iver Ships BV,6175,Tarragona,"Takoradi, Ghana",North Atlantic,3-Apr
White Pearl,Gunvor,37000,Tarragona,"Portsmouth, New Hampshire, US",North Atlantic,30-Mar
Poestella,Bilsea,8021,Augusta,"Skikda, Algeria",Med,23-Mar
Iver Best,Iver Ships BV,6187,Agioi Theodoroi,"Annaba, Algeria",Med,21-Mar
Lilstella,Bilsea,7944,Tarragona,"Port Harcourt, Nigeria",WAF,23-Mar
Fang Cheng Gang,United Rich Maritime,6193,Singapore,"Dongguan, Humen, China",Malaysia,27-Mar
JS Onsan,"Jisung Shipping Co., Ltd.",5881,"Ulsan, Onsan","Nanjing, China",Shanghai Province,22-Mar
Palanca Miami,Puma,37000,Tanjung Langsat,"Brisbane, Australia",Indonesia,3-Apr
Pusaka Abadi,Arkville Corp,6033,Singapore,"Tanjung Manis, Malaysia",Indonesia,23-Mar
Pusaka Prima,May Maritime Services,4147,Singapore,"Dumai, Indonesia",Singapore,23-Mar
Sidra Qatar,Woqod Marine Services Co,4020,Singapore,"Nha Be, Vietnam",Singapore,26-Mar
Tasco Amata,Tipco Asphalt,6035,Rayong,"Geelong, Australia",Cambodia,6-Apr
Tasco Anan,Tipco Asphalt,3525,Singapore,"Haiphong, Vietnam",Vietnam,25-Mar
Tasco Sakorn,Retalink,3619,Singapore,"Bangkok, Thailand",Indonesia,27-Mar
Transko Bima,Nanjing Petroleum T'ptn,4999,Cilacap,"Surabaya, Indo- nesia",Indonesia,22-Mar
VP Asphalt 2,VP Petrochemical,3095,Singapore,"Vung Tau, Vietnam",Vietnam,23-Mar
