0,1,2,3,4,5,6
"Sub-Saharan Africa bitumen prices, 16-22 Mar","Sub-Saharan Africa bitumen prices, 16-22 Mar","Sub-Saharan Africa bitumen prices, 16-22 Mar","Sub-Saharan Africa bitumen prices, 16-22 Mar","Sub-Saharan Africa bitumen prices, 16-22 Mar","Sub-Saharan Africa bitumen prices, 16-22 Mar","Sub-Saharan Africa bitumen prices, 16-22 Mar"
,Local currency/t,Local currency/t,Local currency/t,$/t,$/t,$/t
,Low,High,±,Low,High,±
"Domestic prices, ex-works",,,,,,
South Africa,12600,13000,nc,668,689,-6.50
Import/export prices,,,,,,$/t
"Ivory Coast, fob Abidjan (export, cargo)","Ivory Coast, fob Abidjan (export, cargo)","Ivory Coast, fob Abidjan (export, cargo)",,561.10,566.10,+29.05
"Nigeria, cfr Lagos (import cargo)","Nigeria, cfr Lagos (import cargo)","Nigeria, cfr Lagos (import cargo)",,633.00,643.00,+29.00
"Ghana, cfr Takoradi-Tema (import, cargo)","Ghana, cfr Takoradi-Tema (import, cargo)","Ghana, cfr Takoradi-Tema (import, cargo)",,603,613,+31.00
"Kenya, cfr Mombasa (import, drums)","Kenya, cfr Mombasa (import, drums)","Kenya, cfr Mombasa (import, drums)",,430.00,440.00,+2.00
"Tanzania, cfr Dar es Salaam (import, drums)","Tanzania, cfr Dar es Salaam (import, drums)","Tanzania, cfr Dar es Salaam (import, drums)",,438,448,nc
